"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.545287769E2,-2.144304657E1,3.345207214E1,-3.223391724E1
2.545387409E2,-2.060843658E1,3.315441132E1,-3.285027695E1
2.545487049E2,-1.945617676E1,3.289056778E1,-3.388175201E1
2.545586689E2,-1.818260193E1,3.282773590E1,-3.452304840E1
2.545686339E2,-1.754885864E1,3.290150452E1,-3.482379150E1
2.545785979E2,-1.708938599E1,3.300359726E1,-3.491957855E1
2.545885619E2,-1.716784668E1,3.299642944E1,-3.477758026E1
2.545985259E2,-1.748158264E1,3.314418793E1,-3.471350861E1
2.546084899E2,-1.781066895E1,3.353936386E1,-3.395239639E1
2.546184549E2,-1.830900574E1,3.377048874E1,-3.350275040E1
2.546284189E2,-1.883641052E1,3.435472107E1,-3.242020416E1
2.546383829E2,-1.904515839E1,3.472396851E1,-3.193399620E1
2.546483469E2,-1.910596466E1,3.528125381E1,-3.093086243E1
2.546583109E2,-1.912805939E1,3.528348160E1,-3.092303848E1
2.546682759E2,-1.882908630E1,3.556179810E1,-3.120511246E1
2.546782399E2,-1.830064392E1,3.607285690E1,-3.056417465E1
2.546882039E2,-1.759886169E1,3.614154816E1,-3.100634956E1
2.546981679E2,-1.687715149E1,3.670562744E1,-3.041190910E1
2.547081329E2,-1.635598755E1,3.706628799E1,-3.045452690E1
2.547180969E2,-1.584980774E1,3.781758881E1,-2.952945709E1
2.547280609E2,-1.565304565E1,3.858109665E1,-2.924503517E1
2.547380249E2,-1.556565857E1,3.968102264E1,-2.724775314E1
2.547479889E2,-1.554586792E1,4.068193436E1,-2.621286774E1
2.547579539E2,-1.536389160E1,4.174905396E1,-2.393373680E1
2.547679179E2,-1.490339661E1,4.239203262E1,-2.306063271E1
2.547778819E2,-1.483657837E1,4.325933838E1,-2.147381210E1
2.547878459E2,-1.477957153E1,4.382752228E1,-2.080432510E1
2.547978109E2,-1.476980591E1,4.428596115E1,-1.929543686E1
2.548077749E2,-1.484304810E1,4.460609436E1,-1.860244751E1
2.548177389E2,-1.474311829E1,4.486321640E1,-1.782855225E1
