"Time (s)","X (µT)","Y (µT)","Z (µT)"
3.347183208E0,-4.467413330E1,1.530401802E1,-7.779100800E1
3.357149208E0,-4.488726044E1,1.530738926E1,-7.788135529E1
3.367114208E0,-4.474817657E1,1.545504951E1,-7.789844513E1
3.377079208E0,-4.491548920E1,1.567801857E1,-7.784939575E1
3.387045208E0,-4.469053650E1,1.605543137E1,-7.771241760E1
3.397010208E0,-4.646170044E1,1.716139221E1,-7.769033051E1
3.406976208E0,-4.597765350E1,1.757659149E1,-7.759989929E1
3.416941208E0,-4.583082581E1,1.777823639E1,-7.763702393E1
3.426906208E0,-4.593843842E1,1.823221588E1,-7.765196991E1
3.436872208E0,-4.616461945E1,1.843752670E1,-7.753065491E1
3.446837208E0,-4.615464020E1,1.855824852E1,-7.757720184E1
3.456802208E0,-4.615464020E1,1.855824852E1,-7.757720184E1
3.466768208E0,-4.610015106E1,1.864773178E1,-7.756816101E1
3.476733208E0,-4.613197327E1,1.885846710E1,-7.784860229E1
3.486699208E0,-4.610658264E1,1.899263000E1,-7.761878967E1
3.496664208E0,-4.630538177E1,1.887119865E1,-7.770115662E1
3.506629208E0,-4.606690216E1,1.906834984E1,-7.776522827E1
3.516595208E0,-4.611212158E1,1.922072983E1,-7.782637024E1
3.526560208E0,-4.587849426E1,1.951886559E1,-7.776200867E1
3.536525208E0,-4.594029999E1,1.979233551E1,-7.787577820E1
3.546491208E0,-4.573617554E1,2.006677628E1,-7.765638733E1
3.556456208E0,-4.569439697E1,2.033755112E1,-7.786855316E1
3.566422208E0,-4.511776733E1,2.065946198E1,-7.776070404E1
3.576387208E0,-4.520333099E1,2.063078880E1,-7.778346252E1
3.586352208E0,-4.503182220E1,2.089624405E1,-7.768760681E1
3.596318208E0,-4.497798157E1,2.093242073E1,-7.794701385E1
3.606283208E0,-4.469865417E1,2.106734467E1,-7.796798706E1
3.616248208E0,-4.501226807E1,2.112701035E1,-7.805010223E1
3.626214208E0,-4.466842651E1,2.127812767E1,-7.781983948E1
