"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.623004160E2,5.239008608E1,4.888308842E0,-7.770597890E0,1.708979417E0,2.814601440E2,1.370598683E1,1.066611082E1
1.633003951E2,5.239009222E1,4.888259377E0,-8.728630846E0,2.467750626E0,2.814601440E2,1.373298516E1,1.079556230E1
1.643003757E2,5.239009530E1,4.888234544E0,-8.796621791E0,1.721700613E0,2.814601440E2,1.375863363E1,1.145381681E1
1.653003546E2,5.239010190E1,4.888181281E0,-8.638081057E0,2.721668963E0,2.814601440E2,1.378299933E1,1.113078487E1
1.663003348E2,5.239010497E1,4.888156562E0,-8.702016571E0,2.033199840E0,2.814601440E2,1.380614741E1,1.124730362E1
1.673003141E2,5.239010990E1,4.888116813E0,-8.827170253E0,2.367635118E0,2.814601440E2,1.382813741E1,1.130760733E1
1.683002932E2,5.239011285E1,4.888093061E0,-9.279397173E0,1.931485180E0,2.814601440E2,1.384902844E1,1.150376435E1
1.693002735E2,5.239011888E1,4.888044400E0,-9.914407962E0,2.535890915E0,2.814601440E2,1.386887447E1,1.180902827E1
1.703002522E2,5.239012198E1,4.888019416E0,-1.072099258E1,1.991825436E0,2.814601440E2,1.388772896E1,1.217564525E1
1.713002317E2,5.239013087E1,4.887947564E0,-1.039572164E1,3.297613109E0,2.821817627E2,1.390563982E1,1.215486551E1
1.723002111E2,5.239013350E1,4.887927655E0,-1.050155858E1,2.065718908E0,2.821817627E2,1.392265568E1,1.256860935E1
1.733001909E2,5.239013839E1,4.887890687E0,-1.072165601E1,1.974303007E0,2.821817627E2,1.393882052E1,1.269487168E1
1.743001703E2,5.239014397E1,4.887848401E0,-1.106417459E1,2.349054346E0,2.821817627E2,1.395417708E1,1.265193714E1
1.753001488E2,5.239014820E1,4.887816352E0,-1.074002502E1,1.873746393E0,2.821817627E2,1.396876608E1,1.235882437E1
1.763001286E2,5.239015457E1,4.887768167E0,-1.093788615E1,2.489010449E0,2.821817627E2,1.398262534E1,1.224265827E1
1.773001081E2,5.239015840E1,4.887739185E0,-1.112070676E1,1.984914644E0,2.821817627E2,1.399579202E1,1.227372295E1
1.783000864E2,5.239016513E1,4.887688173E0,-1.116029570E1,2.628311644E0,2.821817627E2,1.400829997E1,1.207692177E1
1.793000661E2,5.239016914E1,4.887657796E0,-1.082126986E1,2.119133705E0,2.821817627E2,1.402018277E1,1.231647154E1
1.803000451E2,5.239017400E1,4.887621034E0,-1.128077383E1,2.183972143E0,2.821817627E2,1.403147130E1,1.235363270E1
1.813000247E2,5.239017880E1,4.887584688E0,-1.176249287E1,2.089459284E0,2.821817627E2,1.404219532E1,1.279011050E1
1.823000033E2,5.239018369E1,4.887547638E0,-1.241504669E1,1.920624753E0,2.821817627E2,1.405238335E1,1.274779368E1
1.832999833E2,5.239018787E1,4.887516008E0,-1.288392998E1,1.988896693E0,2.821817627E2,1.406206190E1,1.257120963E1
1.842999624E2,5.239019512E1,4.887458342E0,-1.229851977E1,2.720477422E0,2.814773560E2,1.407125617E1,1.259239439E1
1.852999409E2,5.239019897E1,4.887427333E0,-1.205990955E1,2.227921717E0,2.814773560E2,1.407999099E1,1.295423490E1
1.862999197E2,5.239020420E1,4.887385256E0,-1.238296047E1,2.167605092E0,2.814773560E2,1.408828941E1,1.270059605E1
1.872998987E2,5.239020944E1,4.887343090E0,-1.226184084E1,2.473896804E0,2.814773560E2,1.409617251E1,1.296426242E1
1.882998785E2,5.239021266E1,4.887317138E0,-1.224496797E1,1.930980621E0,2.814773560E2,1.410366196E1,1.326975107E1
1.892998567E2,5.239021924E1,4.887264159E0,-1.237316646E1,2.669440114E0,2.814773560E2,1.411077622E1,1.292284298E1
1.902998364E2,5.239022323E1,4.887232032E0,-1.243990372E1,2.153294931E0,2.814773560E2,1.411753529E1,1.314282179E1
1.912998153E2,5.239022865E1,4.887188409E0,-1.227855791E1,2.401923366E0,2.814773560E2,1.412395604E1,1.309610537E1
1.922997944E2,5.239023307E1,4.887152950E0,-1.240992150E1,2.240441133E0,2.814958496E2,1.413005610E1,1.332987841E1
1.932997727E2,5.239023828E1,4.887111098E0,-1.230400566E1,2.186565078E0,2.814958496E2,1.413585090E1,1.360505148E1
1.942997519E2,5.239024264E1,4.887076043E0,-1.246580689E1,2.046760008E0,2.814958496E2,1.414135615E1,1.373157568E1
1.952997319E2,5.239024773E1,4.887035131E0,-1.278184303E1,1.818810779E0,2.814958496E2,1.414658620E1,1.370821983E1
1.962997098E2,5.239025254E1,4.886996488E0,-1.291817393E1,2.114633719E0,2.814958496E2,1.415155445E1,1.358151191E1
1.972996892E2,5.239025662E1,4.886963255E0,-1.316171996E1,1.704269681E0,2.819199829E2,1.415627446E1,1.358776007E1
1.982996680E2,5.239026250E1,4.886917751E0,-1.330196935E1,2.296335212E0,2.819199829E2,1.416075833E1,1.315632340E1
1.992996470E2,5.239026731E1,4.886880488E0,-1.317391510E1,1.891478578E0,2.819199829E2,1.416501814E1,1.313734854E1
2.002996259E2,5.239027314E1,4.886835346E0,-1.330578203E1,2.497184089E0,2.819199829E2,1.416906502E1,1.222809993E1
2.012996053E2,5.239027670E1,4.886807764E0,-1.326580141E1,1.804831078E0,2.819199829E2,1.417290940E1,1.308829528E1
2.022995844E2,5.239028179E1,4.886768358E0,-1.340358942E1,2.136988854E0,2.819199829E2,1.417656158E1,1.313384349E1
2.032995626E2,5.239028725E1,4.886726148E0,-1.326185696E1,2.344869780E0,2.819199829E2,1.418003116E1,1.299156844E1
2.042995423E2,5.239029123E1,4.886695319E0,-1.302596152E1,1.966638577E0,2.819199829E2,1.418332744E1,1.312324762E1
