"Time (s)","X (hPa)"
6.148293929E2,1.016275787E3
6.158904789E2,1.016253052E3
6.169515429E2,1.016236191E3
6.180126269E2,1.016221161E3
6.190736899E2,1.016213837E3
6.201346939E2,1.016213837E3
6.211957419E2,1.016225815E3
6.222567659E2,1.016242905E3
6.233178109E2,1.016260147E3
6.243788679E2,1.016285477E3
6.254399329E2,1.016304626E3
6.265009659E2,1.016321259E3
6.275619959E2,1.016331329E3
6.286230589E2,1.016342926E3
6.296841429E2,1.016347733E3
6.307451909E2,1.016360016E3
6.318062499E2,1.016367493E3
6.328672599E2,1.016372986E3
6.339282809E2,1.016375961E3
6.349893119E2,1.016380310E3
6.360503639E2,1.016382904E3
6.371114259E2,1.016389008E3
6.381724819E2,1.016392746E3
6.392336019E2,1.016396103E3
6.402947119E2,1.016397858E3
6.413558629E2,1.016399765E3
6.424169669E2,1.016399994E3
6.434780399E2,1.016401215E3
6.445391129E2,1.016401901E3
6.456002229E2,1.016401901E3
6.466612669E2,1.016402435E3
6.477223059E2,1.016402893E3
6.487833379E2,1.016402893E3
6.498443819E2,1.016402893E3
6.509054209E2,1.016402740E3
6.519665039E2,1.016400833E3
6.530275389E2,1.016399078E3
6.540886149E2,1.016395264E3
6.551497269E2,1.016392136E3
6.562107839E2,1.016390305E3
6.572718569E2,1.016385269E3
6.583329359E2,1.016375275E3
6.593940359E2,1.016365280E3
6.604550959E2,1.016351547E3
6.615161119E2,1.016336823E3
6.625771509E2,1.016324539E3
6.636382369E2,1.016312561E3
6.646992839E2,1.016297455E3
6.657602869E2,1.016284790E3
6.668213069E2,1.016263962E3
6.678823579E2,1.016233215E3
6.689433659E2,1.016202011E3
6.700043659E2,1.016173630E3
6.710654569E2,1.016140900E3
6.721265179E2,1.016110458E3
6.731875699E2,1.016093063E3
6.742486739E2,1.016082916E3
6.753097629E2,1.016065063E3
6.763708749E2,1.016050034E3
6.774320419E2,1.016039581E3
6.784931759E2,1.016016998E3
6.795543019E2,1.015996246E3
6.806153529E2,1.015980225E3
6.816764139E2,1.015977631E3
6.827375119E2,1.015977631E3
6.837986179E2,1.015997925E3
6.848597129E2,1.016011963E3
6.859208189E2,1.016021194E3
6.869819049E2,1.016036148E3
6.880429659E2,1.016049271E3
6.891040369E2,1.016071548E3
6.901651609E2,1.016107330E3
6.912263109E2,1.016155319E3
6.922874839E2,1.016192856E3
6.933486149E2,1.016224976E3
6.944097839E2,1.016236343E3
6.954709559E2,1.016246719E3
6.965320889E2,1.016257019E3
6.975931819E2,1.016268768E3
6.986543109E2,1.016272812E3
6.997154709E2,1.016272812E3
7.007766199E2,1.016256866E3
7.018377539E2,1.016240158E3
7.028989449E2,1.016224442E3
7.039601169E2,1.016212616E3
7.050213229E2,1.016212158E3
7.060824829E2,1.016212158E3
7.071436289E2,1.016213837E3
7.082048219E2,1.016213837E3
7.092660019E2,1.016213837E3
7.103271619E2,1.016215973E3
7.113883729E2,1.016215973E3
7.124495949E2,1.016215057E3
7.135108489E2,1.016202087E3
7.145720969E2,1.016175919E3
7.156333229E2,1.016135712E3
7.166945419E2,1.016078644E3
7.177557439E2,1.016026688E3
7.188169539E2,1.015978546E3
7.198781419E2,1.015943909E3
7.209393139E2,1.015921936E3
7.220004909E2,1.015916214E3
7.230616869E2,1.015915146E3
7.241228789E2,1.015915146E3
7.251840599E2,1.015926056E3
7.262451679E2,1.015941620E3
7.273062969E2,1.015960770E3
7.283674389E2,1.015974274E3
7.294285599E2,1.015984650E3
7.304896859E2,1.016001205E3
7.315509139E2,1.016016617E3
7.326120819E2,1.016017075E3
7.336732529E2,1.016030960E3
7.347344329E2,1.016061020E3
7.357956249E2,1.016085663E3
7.368568269E2,1.016098938E3
